../code_corpus/regular/facebook/Post.java_31, 84:0.0022331915665 1406:0.0542436737719 1421:0.0611092844866 1589:0.0648011732449 1824:0.107101974252 2075:0.000123783709113
../code_corpus/regular/facebook/BatchResponse.java_4, 84:0.000523404273399 189:0.0238259307396 373:0.00285057635171 736:0.0181319155126 761:0.011199142087 901:0.0511738702351 1005:0.0115076429964 1173:0.0410328986253 1174:0.0066326409721 1281:0.111091762844 1428:0.0283383610403 1599:0.070346525982 1647:0.0950406996808 1830:0.0302663314568 1943:0.0357702601756 1977:0.0709043020741 2075:0.000232094454588
../code_corpus/regular/facebook/JsonWriter.java_17, 84:0.000712720712713 170:0.0345057357519 205:0.0504246299435 208:0.0190583264525 236:0.0186341066665 347:0.0132291400072 357:0.0130332250756 373:0.00388163588318 517:0.0652963321634 540:0.0524865451139 599:0.117782877277 733:0.0652963321634 1022:0.0504246299435 1065:0.0112734364445 1259:0.0250390001913 1379:0.0245768884957 1733:0.0142394444724 1830:0.0137379093137 1951:0.0128730770786 2075:0.000237032634473
../code_corpus/regular/facebook/JsonArray.java_7, 84:0.00111659578325 1174:0.0424489022214 1267:0.0596724670243 1272:0.0485381251654 1676:0.0306569499676 1725:0.202753492652 1830:0.0215227245915 2075:0.000247567418227
../code_corpus/regular/facebook/Photo.java_14, 84:0.000761315306762 194:0.0682148130734 236:0.0398092278785 356:0.0784774968573 358:0.0873999807274 373:0.0248777572513 379:0.075953981955 431:0.0813715459422 688:0.0559126600429 747:0.00639698039008 761:0.032579322435 978:0.0210737529791 1554:0.0984471647586 1951:0.0275015737589 2075:0.00012659697523
../code_corpus/regular/facebook/BinaryAttachment.java_5, 84:0.00257675949981 1406:0.0625888543522 1421:0.0705107128692 1589:0.0747705845134 1824:0.12357920106 2075:0.000142827356669
../code_corpus/regular/facebook/JsonWriter.java_20, 84:0.000881522986777 160:0.080761252939 208:0.0235721406124 747:0.00740702992536 1174:0.022341527485 1259:0.0309692897103 1536:0.0908686805716 1637:0.0514469541941 1697:0.0137145501656 1830:0.0169916246775 1954:0.0258570468686 2075:0.000293171942637
../code_corpus/regular/facebook/Location.java_5, 84:0.00257675949981 791:0.12135122445 1406:0.0625888543522 1421:0.0705107128692 1589:0.0747705845134 2075:0.000142827356669
../code_corpus/regular/facebook/JsonObject.java_2, 4:0.00465446720822 5:0.00489020067351 18:0.00447161812707 26:0.00465446720822 28:0.0229532255833 40:0.0033776868127 75:0.00761123627593 84:6.3203534901e-05 89:0.00189522570275 98:0.00276767475539 110:0.005790429456 114:0.00522244833211 120:0.00522244833211 121:0.00447161812707 140:0.00432221954962 153:0.0313346899927 155:0.00520276049681 158:0.0229532255833 181:0.00522244833211 236:0.00660983406285 242:0.00797994378205 243:0.00522244833211 254:0.00978040134703 263:0.0126740106231 300:0.00522244833211 302:0.00447161812707 332:0.00570801928647 345:0.005790429456 347:0.00469260060634 352:0.00279452078582 353:0.00447161812707 357:0.00809043594315 373:0.0065401902711 378:0.00465446720822 382:0.0208897933284 387:0.00465446720822 419:0.00522244833211 421:0.00522244833211 422:0.00757645913435 424:0.00489020067351 449:0.00221000098187 456:0.00489020067351 460:0.00522244833211 466:0.0186178688329 467:0.00756528595392 488:0.00522244833211 537:0.00326342501519 543:0.00522244833211 554:0.00489020067351 555:0.00522244833211 570:0.00489020067351 579:0.00432221954962 581:0.00408648608432 582:0.00465446720822 585:0.00522244833211 611:0.0303991813143 612:0.0159230816244 641:0.0114766127916 657:0.00203339912451 665:0.00522244833211 673:0.005790429456 683:0.00979027504558 685:0.00522244833211 688:0.00464180573941 692:0.0181396186415 720:0.00432221954962 741:0.00553534951077 745:0.0018674459729 761:0.0216375877304 764:0.00398997189102 768:0.00415262137029 776:0.00465446720822 794:0.00522244833211 795:0.0041959048522 799:0.0146706020205 810:0.0033776868127 835:0.0033776868127 839:0.00644226330439 860:0.00489020067351 868:0.00276767475539 874:0.0104448966642 881:0.00522244833211 903:0.00522244833211 913:0.005790429456 920:0.005790429456 930:0.0104448966642 935:0.00465446720822 939:0.00978040134703 966:0.00522244833211 978:0.0034990382305 995:0.00432221954962 996:0.00246320682664 997:0.00489020067351 1005:0.00555840869258 1009:0.00315280679813 1024:0.00705953738349 1025:0.00333565587928 1035:0.00590104767306 1048:0.00978040134703 1053:0.00203339912451 1065:0.0049985991782 1080:0.00737729909198 1104:0.00495491606041 1124:0.00930893441643 1127:0.00930893441643 1128:0.0156673449963 1131:0.00522244833211 1139:0.00398997189102 1159:0.00489020067351 1167:0.0279268032493 1174:0.00640738146738 1187:0.00465446720822 1208:0.00295052383653 1215:0.00489020067351 1219:0.00465446720822 1224:0.00703700992085 1248:0.0032211316522 1253:0.00489020067351 1257:0.00447161812707 1266:0.00489020067351 1283:0.00447161812707 1288:0.00489020067351 1301:0.0104448966642 1303:0.0041959048522 1319:0.00465446720822 1357:0.00761123627593 1411:0.00465446720822 1424:0.00522244833211 1436:0.0208897933284 1441:0.005790429456 1444:0.00465446720822 1445:0.00522244833211 1447:0.00290084659366 1469:0.0104448966642 1473:0.00325755647332 1474:0.00522244833211 1496:0.0281480396834 1507:0.0139634016246 1509:0.0126100485977 1515:0.016246320088 1529:0.00725584745662 1542:0.00797994378205 1574:0.00693765543511 1591:0.00522244833211 1598:0.00522244833211 1604:0.00300340822068 1619:0.00390363700317 1642:0.005790429456 1654:0.00737729909198 1670:0.00637251460366 1673:0.0187711921286 1700:0.00489020067351 1704:0.00398997189102 1719:0.00300340822068 1725:0.00382553759721 1727:0.00978040134703 1733:0.0113646887015 1735:0.00522244833211 1736:0.00465446720822 1738:0.00522244833211 1741:0.00375423842573 1764:0.00522244833211 1770:0.0063647826766 1773:0.00522244833211 1795:0.00465446720822 1799:0.005790429456 1815:0.005790429456 1823:0.00522244833211 1834:0.00230911239937 1835:0.00408648608432 1842:0.00203339912451 1844:0.00894323625414 1862:0.00595307893527 1894:0.00465446720822 1899:0.00465446720822 1943:0.0107985691096 1951:0.0102741728382 1954:0.0037078029472 1955:0.0022974891754 1969:0.00522244833211 1991:0.00930893441643 1992:0.00522244833211 2019:0.00522244833211 2025:0.00489020067351 2026:0.00522244833211 2034:0.00346882771755 2062:0.00390363700317 2075:0.000136629188361 2088:0.0041959048522 2106:0.00522244833211
../code_corpus/regular/facebook/Connection.java_5, 40:0.0426231907316 84:0.000797568416608 137:0.0985203624611 189:0.0363061801746 241:0.07306970504 373:0.00868747078617 518:0.0587349433418 736:0.0276295855429 1065:0.0126155122116 1174:0.0101068814813 1383:0.0650403656848 1649:0.0171114188892 1830:0.0153733747082 1842:0.0256595603807 2075:0.000176833870162
